order_id,weight (lbs),volume (in3)
21000,718.7070980000001,3784.5678266
21001,1014.1265800000001,6748.7330304
21002,1102.3115,87.874128
21003,260.0,100700.0
21004,168.0,20700.0
21005,690.046999,1611.02568
21006,202.82531600000002,4994.179608
21007,370.0,130036.0
21008,220.0,33660.0
21009,1036.17281,9829.8196434
21010,1296.318324,13997.3722112
21011,262.350137,1670.0966216
21012,535.723389,1419.1671672
21013,1247.816618,0.0610237
21014,220.46230000000003,2847.1217472
21015,220.46230000000003,2847.1217472
21016,220.46230000000003,2847.1217472
21017,425.0,69120.0
21018,40.0,52800.0
21019,475.0,200633.0
21020,900.0,69120.0
21021,110.0,29636.0
21022,440.92460000000005,9841.902336
21023,264.55476000000004,3597.7132572
21024,1322.7738000000002,2811.972096
21025,1543.2361,33589.885428
21026,165.34672500000002,1933.230816
21027,396.83214000000004,2665.515216
21028,350.53505700000005,5354.829675
21029,220.46230000000003,2847.1217472
21030,1455.0511800000002,3093.1693056
21031,1981.9560770000003,5680.085996
21032,656.977654,2982.8994797
21033,63.934067000000006,427.1659
21034,242.50853000000004,1202.8991744
21035,3209.9310880000003,7688.9862
21036,264.55476000000004,1394.2694976
21037,1124.3577300000002,2390.1762816
21038,222.66692300000003,1238.9031574
21039,661.3869000000001,2284.727328
21040,220.46230000000003,2847.1217472
21041,551.15575,2284.727328
21042,242.50853000000004,1202.8991744
21043,694.4562450000001,1812.40389
21044,526.904897,2476.7078882
21045,99.20803500000001,1889.293752
21046,99.20803500000001,1889.293752
21047,440.92460000000005,4696.383952
21048,295.0,51136.0
21049,485.0170600000001,2389.077855
21050,160.0,19350.0
21051,208.0,14400.0
21052,600.0,46080.0
21053,1020.0,212005.0
21054,150.0,18816.0
21055,286.60099,1438.4506564
21056,482.81243700000005,2570.6843862
21057,1269.8628480000002,1968.3804672
21058,1455.0511800000002,3093.1693056
21059,286.60099,1438.4506564
21060,220.46230000000003,2847.1217472
21061,330.69345000000004,1622.7422304
21062,1455.0511800000002,3093.1693056
21063,352.73968,140.5986048
21064,440.92460000000005,6911.3001672
21065,220.46230000000003,2847.1217472
21066,220.46230000000003,2667.345927
21067,291.010236,1640.317056
21068,1719.6059400000001,3655.5637248
21069,421.08299300000004,871.418436
21070,291.010236,1640.317056
21071,17.0,35035.0
21072,220.46230000000003,2847.1217472
21073,520.2910280000001,1300.9032366
21074,352.73968,929.5129984
21075,330.69345000000004,761.575776
21076,381.399779,1812.40389
21077,1587.3285600000002,3374.3665152
21078,661.3869000000001,4647.564992
21079,1851.8833200000001,10149.461784
21080,220.46230000000003,2847.1217472
21081,330.69345000000004,761.575776
